route,dose,n,died,,,,
IP,1.00E+08,3,3,,,,
IP,1.00E+03,3,3,,,,
IP,1.00E+02,3,3,,,,
IP,1.00E+02,4,4,,,,
IP,1.00E+01,4,4,,,,
IP,1.00E+02,4,4,,,,
IP,1.00E+01,4,3,,,,
IP,1.00E+03,4,4,,,,
IP,2.50E+02,4,4,,,,
IP,1.00E+02,4,4,,,,
IP,5.00E+01,4,4,,,,
IP,1.00E+01,4,4,,,,
IP,1.00E+04,4,4,,,,
IP,1.00E+03,4,4,,,,
IP,2.50E+02,4,4,,,,
IP,1.00E+02,4,4,,,,
IP,1.00E+01,4,4,,,,
IP,1.00E+04,4,4,,,,
IP,1.00E+03,4,4,,,,
IP,2.50E+02,4,4,,,,
IP,1.00E+02,4,4,,,,
IP,1.00E+01,4,2,,,,
IP,1.00E+06,4,4,,,,
IP,1.00E+04,4,4,,,,
IP,1.00E+02,4,4,,,,
IP,1.00E+06,4,4,,,,
IP,1.00E+04,4,4,,,,
IP,1.00E+02,4,4,,,,
IP,1.00E+06,4,4,,,,
IP,1.00E+04,4,4,,,,
IP,1.00E+02,4,4,,,,
IP,1.00E+06,4,4,,,,
IP,1.00E+04,4,4,,,,
IP,1.00E+02,4,4,,,,
IP,1.00E+04,4,4,,,,
IP,1.00E+03,4,4,,,,
IP,1.00E+02,4,4,,,,
IP,1.00E+01,4,4,,,,
Conj,1.00E+08,4,4,,,,
Conj,1.00E+07,4,4,,,,
Conj,1.00E+06,4,2,,,,
Conj,1.00E+08,4,4,,,,
Conj,1.00E+07,4,4,,,,
Conj,1.00E+06,4,1,,,,
Conj,1.00E+07,4,4,,,,
Conj,1.00E+06,4,1,,,,
Conj,1.00E+05,4,0,,,,
Conj,1.00E+08,4,4,,,,
Conj,1.00E+07,4,2,,,,
Conj,1.00E+06,4,0,,,,
Conj,1.00E+08,4,4,,,,
Conj,1.00E+07,4,0,,,,
Conj,1.00E+06,4,3,,,,
Conj,1.00E+05,4,0,,,,
Conj,1.00E+04,4,0,,,,
Conj,1.00E+03,4,0,,,,
Conj,1.00E+02,4,0,,,,
Conj,1.00E+06,4,2,,,,
Conj,1.00E+05,4,0,,,,
Conj,1.00E+04,4,0,,,,
Conj,1.00E+08,4,4,,,,
Conj,1.00E+08,4,4,,,,
Conj,1.00E+08,8,8,,,,
Conj,1.00E+08,12,12,,,,
Int.skin,1.00E+08,4,2,,,,
Int.skin,1.00E+06,4,0,,,,
Int.skin,1.00E+04,4,0,,,,
Int.skin,1.00E+08,4,0,,,,
Int.skin,1.00E+07,4,0,,,,
Int.skin,1.00E+06,4,0,,,,
Shv.skin,1.00E+08,4,3,,,,
Shv.skin,1.00E+06,4,0,,,,
Shv.skin,1.00E+04,4,0,,,,
Shv.skin,1.00E+08,4,2,,,,
Shv.skin,1.00E+07,4,3,,,,
Shv.skin,1.00E+06,4,2,,,,
Epiderm,1.00E+03,4,3,,,,
Epiderm,1.00E+02,4,4,,,,
Epiderm,1.00E+01,4,1,,,,
Epiderm,1.00E+03,4,3,,,,
Epiderm,1.00E+02,4,1,,,,
Epiderm,1.00E+01,4,0,,,,
Epiderm,1.00E+03,4,4,,,,
Epiderm,1.00E+02,4,3,,,,
Epiderm,1.00E+01,4,4,,,,
